region,time_frame,unnamed__2,potable_water_compliance_percentage,effluent_water_compliance_percentage
City of Johannesburg Metropolitan Municipality,April 2022,Unknown,102.68,96.99
City of Tshwane Metropolitan Municipality,April 2022,Unknown,89.45,74.85
Ekurhuleni Metropolitan Municipality,April 2022,Unknown,101.55,98.91
Emfuleni,April 2022,Unknown,62.2,77.38
Lesedi,April 2022,Unknown,97.16,88.04
Merafong City,April 2022,Unknown,103.21,67.89
Midvaal,April 2022,Unknown,103.51,70.06
Mogale City,April 2022,Unknown,100.88,56.16
Rand West City,April 2022,Unknown,71.67,52.33
Gauteng,April 2022,Unknown,98.2,84.88
"<b>Subject Area: WS Improvement Program</b><br />This theme presents indicators highlighting systems and municipalities at risk where Water Services Intervention should occur : 
The Constitution provides five methods of intervening, using Section 139. These are:

Section 139(1a), which requires that the provincial government issue a directive to the municipalities.
Section 139(1)(b), which requires the provincial government to assume responsibility because the municipality could not fulfil an obligation.
Section 139(1)(c), which requires relevant provincial executives to dissolve the municipality.
Section 139(4), which requires the relevant provincial executive to take appropriate steps to ensure that a municipality adopts the budget, or those revenue-raising measures as approved.
Section 139(5), which requires the provincial government to impose a recovery plan to secure the municipality’s ability to meet its obligation, which may also lead to the dissolution of a municipality.
<br /><br /><b>Data Topic : Compliance Indicators</b><br />WSIP Related Indicators<br /><br /><b>Data Topic Detail:</b> Institutional Compliance<br />",Unknown,<b>Data Source:</b> DWS Water Services and Regulation Systems as well as Treasury Supplied Data<br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2022<br /><b>Level Of Confidence:</b> 95 Percent,99.53999999999999,76.115
