region,time_frame,unnamed__2,potable_water_compliance_percentage,effluent_water_compliance_percentage,potable_water_compliance_percentage_change,potable_water_compliance_percentage_pct_change,effluent_water_compliance_percentage_change,effluent_water_compliance_percentage_pct_change
City of Johannesburg Metropolitan Municipality,April 2022,Unknown,102.68,96.99,,,,
City of Tshwane Metropolitan Municipality,April 2022,Unknown,89.45,74.85,-13.230000000000004,-0.12884690299961044,-22.14,-0.22827095576863599
Ekurhuleni Metropolitan Municipality,April 2022,Unknown,101.55,98.91,12.099999999999994,0.1352711011738401,24.060000000000002,0.32144288577154323
Emfuleni,April 2022,Unknown,62.2,77.38,-39.349999999999994,-0.38749384539635645,-21.53,-0.21767263168537054
Lesedi,April 2022,Unknown,97.16,88.04,34.959999999999994,0.5620578778135048,10.66000000000001,0.13776169552856055
Merafong City,April 2022,Unknown,103.21,67.89,6.049999999999997,0.062268423219431934,-20.150000000000006,-0.22887323943661975
Midvaal,April 2022,Unknown,103.51,70.06,0.30000000000001137,0.0029066950876854847,2.1700000000000017,0.03196347031963476
Mogale City,April 2022,Unknown,100.88,56.16,-2.6300000000000097,-0.025408173123369848,-13.900000000000006,-0.198401370254068
Rand West City,April 2022,Unknown,71.67,52.33,-29.209999999999994,-0.28955194290245834,-3.8299999999999983,-0.06819800569800571
Gauteng,April 2022,Unknown,98.2,84.88,26.53,0.3701688293567742,32.55,0.6220141410280908
"<b>Subject Area: WS Improvement Program</b><br />This theme presents indicators highlighting systems and municipalities at risk where Water Services Intervention should occur : 
The Constitution provides five methods of intervening, using Section 139. These are:

Section 139(1a), which requires that the provincial government issue a directive to the municipalities.
Section 139(1)(b), which requires the provincial government to assume responsibility because the municipality could not fulfil an obligation.
Section 139(1)(c), which requires relevant provincial executives to dissolve the municipality.
Section 139(4), which requires the relevant provincial executive to take appropriate steps to ensure that a municipality adopts the budget, or those revenue-raising measures as approved.
Section 139(5), which requires the provincial government to impose a recovery plan to secure the municipality’s ability to meet its obligation, which may also lead to the dissolution of a municipality.
<br /><br /><b>Data Topic : Compliance Indicators</b><br />WSIP Related Indicators<br /><br /><b>Data Topic Detail:</b> Institutional Compliance<br />",Unknown,<b>Data Source:</b> DWS Water Services and Regulation Systems as well as Treasury Supplied Data<br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2022<br /><b>Level Of Confidence:</b> 95 Percent,99.54,76.115,1.3400000000000034,0.01364562118126278,-8.765,-0.10326343072573041
